"country","year","average_life","cons_alc","cons_edu","GDP","internetuser","people","students","unemployers","workers","percent"
"lithuania","X2014",74.7,7,0.5,28.0526085626911,721,2943,529,0.053686714237173,0.44818212708121,0.04
"luxembourg","X2014",82.3,NA,NA,101.562694909091,947,550,NA,0.0272727272727273,0.447272727272727,0.04
"latvia","X2014",74.5,7.7,2.1,23.8003471764118,758,2001,473,0.0539730134932534,0.442278860569715,0.04
"malta","X2014",82.1,4,1.5,34.0121082352941,732,425,321,0.0258823529411765,0.428235294117647,0.04
"mexico","X2014",76.7,NA,NA,17.1600772343005,444,125386,298,0.0209194008900515,0.377817300177053,0.04
"germany","X2014",81.2,3.3,0.8,47.1837000334295,862,80767,386,0.0258769051716666,0.493654586650488,0.04
"norway","X2014",82.2,4,0.5,66.0311903093187,963,5108,542,0.0185982772122161,0.514291307752545,0.04
"newzealand","X2014",81.4,NA,NA,37.3041615572859,855,4495,605,0.0291434927697442,0.512791991101224,0.04
"southafrica","X2014",57.2,NA,3.4,13.1028579295522,490,53969,214,0.0940539939594953,0.283811076729233,0.04
"portugal","X2014",81.3,3.3,1.3,28.7346300757648,646,10427,372,0.0696269300853553,0.431571880694351,0.04
"russia","X2014",70.4,NA,NA,25.4966379697495,705,143667,513,0.0270695427620818,0.497950120765381,0.04
"romania","X2014",75,NA,NA,20.7390403218529,541,19947,315,0.0315335639444528,0.431844387627212,0.04
"slovakia","X2014",77,5,1.6,29.0342906942393,800,5416,390,0.0662850812407681,0.436299852289513,0.04
"slovenia","X2014",81.2,5.6,1.3,31.0094973799127,716,2061,465,0.0475497331392528,0.444929645803008,0.04
"switzerland","X2014",83.3,NA,NA,61.5938849385749,874,8140,381,0.0265356265356265,0.557125307125307,0.04
"sweden","X2014",82.3,3.7,0.3,46.6506488646967,925,9645,470,0.0427164333851737,0.49476412649041,0.04
"turkey","X2014",75.2,NA,1.3,23.2207551833881,510,76668,739,0.0370819637919341,0.338224552616476,0.04
"hungary","X2014",76,8.5,1.7,25.4671207856637,761,9877,359,0.034727143869596,0.415207046674091,0.04
"unitedkingdom","X2014",81.4,4,1.8,40.8750511895697,916,64351,391,0.0310173890071638,0.476635949713291,0.04
"italy","X2014",83.2,4.2,1,36.2977446506424,620,60783,330,0.0532385699948999,0.366533405721995,0.04
